"ep0/time","fiery-meadow-18 - _step","fiery-meadow-18 - _step__MIN","fiery-meadow-18 - _step__MAX","fiery-meadow-18 - ep0/nusselt_obs","fiery-meadow-18 - ep0/nusselt_obs__MIN","fiery-meadow-18 - ep0/nusselt_obs__MAX"
"282","187","187","187","24.994724756457664","24.994724756457664","24.994724756457664"
"283.5","188","188","188","5.875781899683627","5.875781899683627","5.875781899683627"
"285","189","189","189","14.410744670090924","14.410744670090924","14.410744670090924"
"286.5","190","190","190","34.74319204897772","34.74319204897772","34.74319204897772"
"288","191","191","191","25.62853759543056","25.62853759543056","25.62853759543056"
"289.5","192","192","192","8.257789221781962","8.257789221781962","8.257789221781962"
"291","193","193","193","12.298649673849637","12.298649673849637","12.298649673849637"
"292.5","194","194","194","25.190106097205675","25.190106097205675","25.190106097205675"
"294","195","195","195","24.91182572392202","24.91182572392202","24.91182572392202"
"295.5","196","196","196","15.99435071115812","15.99435071115812","15.99435071115812"
"297","197","197","197","18.43012287953794","18.43012287953794","18.43012287953794"
"298.5","198","198","198","19.909457413183546","19.909457413183546","19.909457413183546"
"300","199","199","199","13.228669873763755","13.228669873763755","13.228669873763755"
"301.5","200","200","200","18.427103395660932","18.427103395660932","18.427103395660932"
"303","201","201","201","31.546915909975226","31.546915909975226","31.546915909975226"
"304.5","202","202","202","20.929687525233962","20.929687525233962","20.929687525233962"
"306","203","203","203","0.34882822161252935","0.34882822161252935","0.34882822161252935"
"307.5","204","204","204","12.62722109308022","12.62722109308022","12.62722109308022"
"309","205","205","205","38.71870410964831","38.71870410964831","38.71870410964831"
"310.5","206","206","206","26.675247866720913","26.675247866720913","26.675247866720913"
"312","207","207","207","3.8979345853371132","3.8979345853371132","3.8979345853371132"
"313.5","208","208","208","9.071399867864107","9.071399867864107","9.071399867864107"
"315","209","209","209","31.442734133320897","31.442734133320897","31.442734133320897"
"316.5","210","210","210","30.368101041134434","30.368101041134434","30.368101041134434"
"318","211","211","211","11.116686387602172","11.116686387602172","11.116686387602172"
"319.5","212","212","212","15.586953861991113","15.586953861991113","15.586953861991113"
"321","213","213","213","21.057389216981058","21.057389216981058","21.057389216981058"
"322.5","214","214","214","18.596624851987368","18.596624851987368","18.596624851987368"
"324","215","215","215","23.004106053294944","23.004106053294944","23.004106053294944"
"325.5","216","216","216","28.382988148157143","28.382988148157143","28.382988148157143"
"327","217","217","217","15.168515772588322","15.168515772588322","15.168515772588322"
"328.5","218","218","218","5.336282195311171","5.336282195311171","5.336282195311171"
"330","219","219","219","27.300160807457363","27.300160807457363","27.300160807457363"
"331.5","220","220","220","34.940425502455824","34.940425502455824","34.940425502455824"
"333","221","221","221","12.345483036153214","12.345483036153214","12.345483036153214"
"334.5","222","222","222","6.609738630784039","6.609738630784039","6.609738630784039"
"336","223","223","223","31.86757359823675","31.86757359823675","31.86757359823675"
"337.5","224","224","224","33.94406203215225","33.94406203215225","33.94406203215225"
"339","225","225","225","9.977537744926419","9.977537744926419","9.977537744926419"
"340.5","226","226","226","12.550404586923479","12.550404586923479","12.550404586923479"
"342","227","227","227","29.240291579688677","29.240291579688677","29.240291579688677"
"343.5","228","228","228","18.02431853369672","18.02431853369672","18.02431853369672"
"345","229","229","229","13.11298600662236","13.11298600662236","13.11298600662236"
"346.5","230","230","230","26.612112253467973","26.612112253467973","26.612112253467973"
"348","231","231","231","25.735465307797625","25.735465307797625","25.735465307797625"
"349.5","232","232","232","8.433407143247269","8.433407143247269","8.433407143247269"
"351","233","233","233","15.592748901445779","15.592748901445779","15.592748901445779"
"352.5","234","234","234","36.93752572900139","36.93752572900139","36.93752572900139"
"354","235","235","235","24.3679283407812","24.3679283407812","24.3679283407812"
"355.5","236","236","236","5.1434616661201344","5.1434616661201344","5.1434616661201344"
"357","237","237","237","16.530611396184145","16.530611396184145","16.530611396184145"
"358.5","238","238","238","38.39393448719766","38.39393448719766","38.39393448719766"
"360","239","239","239","22.68766658226726","22.68766658226726","22.68766658226726"
"361.5","240","240","240","6.309140560454438","6.309140560454438","6.309140560454438"
"363","241","241","241","22.923438964698395","22.923438964698395","22.923438964698395"
"364.5","242","242","242","22.154082139154152","22.154082139154152","22.154082139154152"
"366","243","243","243","15.223086017843926","15.223086017843926","15.223086017843926"
"367.5","244","244","244","19.59684587411073","19.59684587411073","19.59684587411073"
"369","245","245","245","28.160934990219708","28.160934990219708","28.160934990219708"
"370.5","246","246","246","13.769134837263657","13.769134837263657","13.769134837263657"
"372","247","247","247","10.53910599101048","10.53910599101048","10.53910599101048"
"373.5","248","248","248","29.681254705191865","29.681254705191865","29.681254705191865"
"375","249","249","249","29.365848444746444","29.365848444746444","29.365848444746444"
"376.5","250","250","250","4.0495878581495806","4.0495878581495806","4.0495878581495806"
"378","251","251","251","12.99079622326818","12.99079622326818","12.99079622326818"
"379.5","252","252","252","34.96808697160263","34.96808697160263","34.96808697160263"
"381","253","253","253","23.255022898426006","23.255022898426006","23.255022898426006"
"382.5","254","254","254","7.119415487042908","7.119415487042908","7.119415487042908"
"384","255","255","255","20.09305701707273","20.09305701707273","20.09305701707273"
"385.5","256","256","256","28.47140867198318","28.47140867198318","28.47140867198318"
"387","257","257","257","13.914500422574012","13.914500422574012","13.914500422574012"
"388.5","258","258","258","18.501559024348918","18.501559024348918","18.501559024348918"
"390","259","259","259","31.197812697318973","31.197812697318973","31.197812697318973"
"391.5","260","260","260","14.502073167714263","14.502073167714263","14.502073167714263"
"393","261","261","261","9.872206020575131","9.872206020575131","9.872206020575131"
"394.5","262","262","262","25.793814699348232","25.793814699348232","25.793814699348232"
"396","263","263","263","32.77908486726484","32.77908486726484","32.77908486726484"
"397.5","264","264","264","7.273493668502709","7.273493668502709","7.273493668502709"
"399","265","265","265","10.539302004822462","10.539302004822462","10.539302004822462"
"400.5","266","266","266","32.004490552664464","32.004490552664464","32.004490552664464"
"402","267","267","267","19.16144779852282","19.16144779852282","19.16144779852282"
"403.5","268","268","268","7.055227497412753","7.055227497412753","7.055227497412753"
"405","269","269","269","19.344925438262326","19.344925438262326","19.344925438262326"
"406.5","270","270","270","27.679101678159665","27.679101678159665","27.679101678159665"
"408","271","271","271","20.14263718626154","20.14263718626154","20.14263718626154"
"409.5","272","272","272","12.557926290268577","12.557926290268577","12.557926290268577"
"411","273","273","273","25.66674373648947","25.66674373648947","25.66674373648947"
"412.5","274","274","274","12.292962659784685","12.292962659784685","12.292962659784685"
"414","275","275","275","19.99031964441958","19.99031964441958","19.99031964441958"
"415.5","276","276","276","31.016333527289177","31.016333527289177","31.016333527289177"
"417","277","277","277","24.535278835243382","24.535278835243382","24.535278835243382"
"418.5","278","278","278","2.4849535583578093","2.4849535583578093","2.4849535583578093"
"420","279","279","279","12.51485726432754","12.51485726432754","12.51485726432754"
"421.5","280","280","280","37.30258533712543","37.30258533712543","37.30258533712543"
"423","281","281","281","23.390228870068245","23.390228870068245","23.390228870068245"
"424.5","282","282","282","5.169479668350039","5.169479668350039","5.169479668350039"
"426","283","283","283","20.004042353603268","20.004042353603268","20.004042353603268"
"427.5","284","284","284","31.294760257552444","31.294760257552444","31.294760257552444"
"429","285","285","285","17.10349268832327","17.10349268832327","17.10349268832327"
"430.5","286","286","286","7.773397276096189","7.773397276096189","7.773397276096189"
"432","287","287","287","26.30650319893163","26.30650319893163","26.30650319893163"
"433.5","288","288","288","16.881969203264436","16.881969203264436","16.881969203264436"
"435","289","289","289","13.337003658542098","13.337003658542098","13.337003658542098"
"436.5","290","290","290","25.365506225546557","25.365506225546557","25.365506225546557"
"438","291","291","291","26.778532335702618","26.778532335702618","26.778532335702618"
"439.5","292","292","292","5.896459178916414","5.896459178916414","5.896459178916414"
"441","293","293","293","16.218362264870375","16.218362264870375","16.218362264870375"
"442.5","294","294","294","35.2439071537528","35.2439071537528","35.2439071537528"
"444","295","295","295","18.54970175891653","18.54970175891653","18.54970175891653"
"445.5","296","296","296","2.5851338219371023","2.5851338219371023","2.5851338219371023"
"447","297","297","297","28.147430074160443","28.147430074160443","28.147430074160443"
"448.5","298","298","298","35.85761681616889","35.85761681616889","35.85761681616889"
"450","299","299","299","9.655136840497008","9.655136840497008","9.655136840497008"
"451.5","300","300","300","7.705761185720157","7.705761185720157","7.705761185720157"
"453","301","301","301","33.72233469272896","33.72233469272896","33.72233469272896"
"454.5","302","302","302","21.725224826678932","21.725224826678932","21.725224826678932"
"456","303","303","303","13.206055106896095","13.206055106896095","13.206055106896095"
"457.5","304","304","304","19.79157035079548","19.79157035079548","19.79157035079548"
"459","305","305","305","25.532393256239967","25.532393256239967","25.532393256239967"
"460.5","306","306","306","17.02673716424137","17.02673716424137","17.02673716424137"
"462","307","307","307","16.84303476199746","16.84303476199746","16.84303476199746"
"463.5","308","308","308","28.567850952167987","28.567850952167987","28.567850952167987"
"465","309","309","309","12.58592925903448","12.58592925903448","12.58592925903448"
"466.5","310","310","310","13.524767466970266","13.524767466970266","13.524767466970266"
"468","311","311","311","27.38375852033616","27.38375852033616","27.38375852033616"
"469.5","312","312","312","23.542797309589538","23.542797309589538","23.542797309589538"
"471","313","313","313","9.3689401227268","9.3689401227268","9.3689401227268"
"472.5","314","314","314","18.94513566734519","18.94513566734519","18.94513566734519"
"474","315","315","315","34.28472532565084","34.28472532565084","34.28472532565084"
"475.5","316","316","316","20.863192670829914","20.863192670829914","20.863192670829914"
"477","317","317","317","7.81290843355664","7.81290843355664","7.81290843355664"
"478.5","318","318","318","24.73263773756116","24.73263773756116","24.73263773756116"
"480","319","319","319","21.363128947392056","21.363128947392056","21.363128947392056"
"481.5","320","320","320","17.96720794943784","17.96720794943784","17.96720794943784"
"483","321","321","321","26.237643982368837","26.237643982368837","26.237643982368837"
"484.5","322","322","322","21.517812593737755","21.517812593737755","21.517812593737755"
"486","323","323","323","11.18531038759059","11.18531038759059","11.18531038759059"
"487.5","324","324","324","20.579826392504714","20.579826392504714","20.579826392504714"
"489","325","325","325","35.695425405238055","35.695425405238055","35.695425405238055"
"490.5","326","326","326","10.682268381074165","10.682268381074165","10.682268381074165"
"492","327","327","327","6.850569476323039","6.850569476323039","6.850569476323039"
"493.5","328","328","328","29.785398150256295","29.785398150256295","29.785398150256295"
"495","329","329","329","32.80509110866603","32.80509110866603","32.80509110866603"
"496.5","330","330","330","10.874811441824686","10.874811441824686","10.874811441824686"
"498","331","331","331","9.984769347829783","9.984769347829783","9.984769347829783"
"499.5","332","332","332","27.411918300151644","27.411918300151644","27.411918300151644"
"501","333","333","333","16.355767075896793","16.355767075896793","16.355767075896793"
"502.5","334","334","334","17.49064000395386","17.49064000395386","17.49064000395386"
"504","335","335","335","26.65702119572414","26.65702119572414","26.65702119572414"
"505.5","336","336","336","22.007878485901013","22.007878485901013","22.007878485901013"
"507","337","337","337","11.648078089538583","11.648078089538583","11.648078089538583"
"508.5","338","338","338","22.669241283941016","22.669241283941016","22.669241283941016"
"510","339","339","339","35.731289834623155","35.731289834623155","35.731289834623155"
"511.5","340","340","340","10.384472872669647","10.384472872669647","10.384472872669647"
"513","341","341","341","8.023476053284467","8.023476053284467","8.023476053284467"
"514.5","342","342","342","33.09917803574786","33.09917803574786","33.09917803574786"
"516","343","343","343","28.730754982201937","28.730754982201937","28.730754982201937"
"517.5","344","344","344","11.192926177565438","11.192926177565438","11.192926177565438"
"519","345","345","345","17.951359579359774","17.951359579359774","17.951359579359774"
"520.5","346","346","346","32.71995316281131","32.71995316281131","32.71995316281131"
"522","347","347","347","17.548815161004928","17.548815161004928","17.548815161004928"
"523.5","348","348","348","15.424359969366344","15.424359969366344","15.424359969366344"
"525","349","349","349","25.607293182901778","25.607293182901778","25.607293182901778"
"526.5","350","350","350","18.363927708473096","18.363927708473096","18.363927708473096"
"528","351","351","351","11.542691481319942","11.542691481319942","11.542691481319942"
"529.5","352","352","352","24.900697366436464","24.900697366436464","24.900697366436464"
"531","353","353","353","24.92432356457395","24.92432356457395","24.92432356457395"
"532.5","354","354","354","4.621231649755732","4.621231649755732","4.621231649755732"
"534","355","355","355","17.256848667782485","17.256848667782485","17.256848667782485"
"535.5","356","356","356","38.023034538649085","38.023034538649085","38.023034538649085"
"537","357","357","357","21.624355247860837","21.624355247860837","21.624355247860837"
"538.5","358","358","358","5.03554778648568","5.03554778648568","5.03554778648568"
"540","359","359","359","23.022782249300526","23.022782249300526","23.022782249300526"
"541.5","360","360","360","32.34412237792578","32.34412237792578","32.34412237792578"
"543","361","361","361","17.437745894583824","17.437745894583824","17.437745894583824"
"544.5","362","362","362","15.127591573336609","15.127591573336609","15.127591573336609"
"546","363","363","363","23.894240491574603","23.894240491574603","23.894240491574603"
"547.5","364","364","364","17.911419805030455","17.911419805030455","17.911419805030455"
"549","365","365","365","14.883215491318241","14.883215491318241","14.883215491318241"
"550.5","366","366","366","30.093605041180762","30.093605041180762","30.093605041180762"
"552","367","367","367","23.243579176496286","23.243579176496286","23.243579176496286"
