"ep0/time","classic-sun-649-134990 - _step","classic-sun-649-134990 - _step__MIN","classic-sun-649-134990 - _step__MAX","classic-sun-649-134990 - ep0/nusselt_obs","classic-sun-649-134990 - ep0/nusselt_obs__MIN","classic-sun-649-134990 - ep0/nusselt_obs__MAX"
"142.5","94","94","94","5.932329812062311","5.932329812062311","5.932329812062311"
"144","95","95","95","3.3871197243141355","3.3871197243141355","3.3871197243141355"
"145.5","96","96","96","13.896918601906998","13.896918601906998","13.896918601906998"
"147","97","97","97","15.887203614158777","15.887203614158777","15.887203614158777"
"148.5","98","98","98","9.697535867104081","9.697535867104081","9.697535867104081"
"150","99","99","99","10.350834599711476","10.350834599711476","10.350834599711476"
"151.5","100","100","100","12.391170768529165","12.391170768529165","12.391170768529165"
"153","101","101","101","8.602654934419157","8.602654934419157","8.602654934419157"
"154.5","102","102","102","7.292514445122023","7.292514445122023","7.292514445122023"
"156","103","103","103","16.21338156423863","16.21338156423863","16.21338156423863"
"157.5","104","104","104","16.860231634583993","16.860231634583993","16.860231634583993"
"159","105","105","105","3.520275717140913","3.520275717140913","3.520275717140913"
"160.5","106","106","106","4.276072024817476","4.276072024817476","4.276072024817476"
"162","107","107","107","17.735734936701313","17.735734936701313","17.735734936701313"
"163.5","108","108","108","21.594230756040083","21.594230756040083","21.594230756040083"
"165","109","109","109","6.824267229183081","6.824267229183081","6.824267229183081"
"166.5","110","110","110","1.5518740602800607","1.5518740602800607","1.5518740602800607"
"168","111","111","111","11.396192673681343","11.396192673681343","11.396192673681343"
"169.5","112","112","112","17.63117092225093","17.63117092225093","17.63117092225093"
"171","113","113","113","10.938611152406818","10.938611152406818","10.938611152406818"
"172.5","114","114","114","9.40100649110233","9.40100649110233","9.40100649110233"
"174","115","115","115","12.49378366525309","12.49378366525309","12.49378366525309"
"175.5","116","116","116","9.205506676672687","9.205506676672687","9.205506676672687"
"177","117","117","117","6.29736219899151","6.29736219899151","6.29736219899151"
"178.5","118","118","118","14.728833435327102","14.728833435327102","14.728833435327102"
"180","119","119","119","19.45933394712194","19.45933394712194","19.45933394712194"
"181.5","120","120","120","5.602972334872715","5.602972334872715","5.602972334872715"
"183","121","121","121","1.420165237340446","1.420165237340446","1.420165237340446"
"184.5","122","122","122","13.681435414788602","13.681435414788602","13.681435414788602"
"186","123","123","123","23.47397372860292","23.47397372860292","23.47397372860292"
"187.5","124","124","124","13.249689840181823","13.249689840181823","13.249689840181823"
"189","125","125","125","2.4483691177649467","2.4483691177649467","2.4483691177649467"
"190.5","126","126","126","8.082071167229126","8.082071167229126","8.082071167229126"
"192","127","127","127","15.463123812791954","15.463123812791954","15.463123812791954"
"193.5","128","128","128","13.928596213748554","13.928596213748554","13.928596213748554"
"195","129","129","129","10.878484935056942","10.878484935056942","10.878484935056942"
"196.5","130","130","130","12.243085296613387","12.243085296613387","12.243085296613387"
"198","131","131","131","7.433863729839242","7.433863729839242","7.433863729839242"
"199.5","132","132","132","4.865289708597114","4.865289708597114","4.865289708597114"
"201","133","133","133","15.444912341744557","15.444912341744557","15.444912341744557"
"202.5","134","134","134","21.463437298735116","21.463437298735116","21.463437298735116"
"204","135","135","135","6.670071267965846","6.670071267965846","6.670071267965846"
"205.5","136","136","136","0.43788840072359353","0.43788840072359353","0.43788840072359353"
"207","137","137","137","11.943083803762962","11.943083803762962","11.943083803762962"
"208.5","138","138","138","22.790251896749655","22.790251896749655","22.790251896749655"
"210","139","139","139","15.412354233484914","15.412354233484914","15.412354233484914"
"211.5","140","140","140","3.554340798916117","3.554340798916117","3.554340798916117"
"213","141","141","141","6.447213338945684","6.447213338945684","6.447213338945684"
"214.5","142","142","142","13.273609733139763","13.273609733139763","13.273609733139763"
"216","143","143","143","13.659525858785235","13.659525858785235","13.659525858785235"
"217.5","144","144","144","12.448748221468803","12.448748221468803","12.448748221468803"
"219","145","145","145","14.976567725759367","14.976567725759367","14.976567725759367"
"220.5","146","146","146","7.4342642388294164","7.4342642388294164","7.4342642388294164"
"222","147","147","147","2.998221793652804","2.998221793652804","2.998221793652804"
"223.5","148","148","148","13.284616717566234","13.284616717566234","13.284616717566234"
"225","149","149","149","23.446101731368394","23.446101731368394","23.446101731368394"
"226.5","150","150","150","10.19804899116392","10.19804899116392","10.19804899116392"
"228","151","151","151","-0.25267975343052984","-0.25267975343052984","-0.25267975343052984"
"229.5","152","152","152","8.678033219811207","8.678033219811207","8.678033219811207"
"231","153","153","153","21.44863872530827","21.44863872530827","21.44863872530827"
"232.5","154","154","154","16.599907024573437","16.599907024573437","16.599907024573437"
"234","155","155","155","5.323872112746891","5.323872112746891","5.323872112746891"
"235.5","156","156","156","6.650028676048974","6.650028676048974","6.650028676048974"
"237","157","157","157","9.704377246352589","9.704377246352589","9.704377246352589"
"238.5","158","158","158","11.478900117753515","11.478900117753515","11.478900117753515"
"240","159","159","159","15.20636170687299","15.20636170687299","15.20636170687299"
"241.5","160","160","160","18.579683740635534","18.579683740635534","18.579683740635534"
"243","161","161","161","5.207031017266955","5.207031017266955","5.207031017266955"
"244.5","162","162","162","2.057339684491508","2.057339684491508","2.057339684491508"
"246","163","163","163","13.971048608306326","13.971048608306326","13.971048608306326"
"247.5","164","164","164","24.303575895324897","24.303575895324897","24.303575895324897"
"249","165","165","165","12.82842061454955","12.82842061454955","12.82842061454955"
"250.5","166","166","166","2.2477873585222317","2.2477873585222317","2.2477873585222317"
"252","167","167","167","8.522197821015514","8.522197821015514","8.522197821015514"
"253.5","168","168","168","17.81286953972732","17.81286953972732","17.81286953972732"
"255","169","169","169","14.429526989206709","14.429526989206709","14.429526989206709"
"256.5","170","170","170","8.943427307428914","8.943427307428914","8.943427307428914"
"258","171","171","171","9.888505410582605","9.888505410582605","9.888505410582605"
"259.5","172","172","172","7.406434318414869","7.406434318414869","7.406434318414869"
"261","173","173","173","7.166141391516005","7.166141391516005","7.166141391516005"
"262.5","174","174","174","17.604151370221174","17.604151370221174","17.604151370221174"
"264","175","175","175","21.531145135684987","21.531145135684987","21.531145135684987"
"265.5","176","176","176","2.496789213156376","2.496789213156376","2.496789213156376"
"267","177","177","177","-0.023873011576304014","-0.023873011576304014","-0.023873011576304014"
"268.5","178","178","178","14.608406459744474","14.608406459744474","14.608406459744474"
"270","179","179","179","24.409031314998543","24.409031314998543","24.409031314998543"
"271.5","180","180","180","12.340426902834333","12.340426902834333","12.340426902834333"
"273","181","181","181","2.7785693001546865","2.7785693001546865","2.7785693001546865"
"274.5","182","182","182","7.628133966085041","7.628133966085041","7.628133966085041"
"276","183","183","183","14.10746633388188","14.10746633388188","14.10746633388188"
"277.5","184","184","184","11.92530712652202","11.92530712652202","11.92530712652202"
"279","185","185","185","13.103457306745879","13.103457306745879","13.103457306745879"
"280.5","186","186","186","12.316203121732098","12.316203121732098","12.316203121732098"
"282","187","187","187","4.101100244135209","4.101100244135209","4.101100244135209"
"283.5","188","188","188","7.812535629644922","7.812535629644922","7.812535629644922"
"285","189","189","189","19.81411166758189","19.81411166758189","19.81411166758189"
"286.5","190","190","190","20.58816152312583","20.58816152312583","20.58816152312583"
"288","191","191","191","2.5814536189577777","2.5814536189577777","2.5814536189577777"
"289.5","192","192","192","1.3238036703848535","1.3238036703848535","1.3238036703848535"
"291","193","193","193","16.757559518631947","16.757559518631947","16.757559518631947"
"292.5","194","194","194","22.940581465731","22.940581465731","22.940581465731"
"294","195","195","195","8.987637578021383","8.987637578021383","8.987637578021383"
"295.5","196","196","196","3.9069422127426874","3.9069422127426874","3.9069422127426874"
"297","197","197","197","10.132194092693883","10.132194092693883","10.132194092693883"
"298.5","198","198","198","13.062551624922538","13.062551624922538","13.062551624922538"
"300","199","199","199","10.454811876283253","10.454811876283253","10.454811876283253"
