"ep4/time","daily-salad-26 - _step","daily-salad-26 - _step__MIN","daily-salad-26 - _step__MAX","daily-salad-26 - ep4/nusselt_obs","daily-salad-26 - ep4/nusselt_obs__MIN","daily-salad-26 - ep4/nusselt_obs__MAX"
"169.5","912","912","912","2.985341650496895","2.985341650496895","2.985341650496895"
"171","913","913","913","2.349197325714968","2.349197325714968","2.349197325714968"
"172.5","914","914","914","2.6591128965529176","2.6591128965529176","2.6591128965529176"
"174","915","915","915","3.5166288256492515","3.5166288256492515","3.5166288256492515"
"175.5","916","916","916","3.5233071961803577","3.5233071961803577","3.5233071961803577"
"177","917","917","917","3.0521537187014287","3.0521537187014287","3.0521537187014287"
"178.5","918","918","918","3.0725662749539713","3.0725662749539713","3.0725662749539713"
"180","919","919","919","3.417150807853867","3.417150807853867","3.417150807853867"
"181.5","920","920","920","3.3395072311461824","3.3395072311461824","3.3395072311461824"
"183","921","921","921","3.1264482922188983","3.1264482922188983","3.1264482922188983"
"184.5","922","922","922","3.1575577111506576","3.1575577111506576","3.1575577111506576"
"186","923","923","923","3.2035205592153067","3.2035205592153067","3.2035205592153067"
"187.5","924","924","924","2.907657555369971","2.907657555369971","2.907657555369971"
"189","925","925","925","2.6108294339463662","2.6108294339463662","2.6108294339463662"
"190.5","926","926","926","2.762712572625399","2.762712572625399","2.762712572625399"
"192","927","927","927","3.428262516810066","3.428262516810066","3.428262516810066"
"193.5","928","928","928","3.448459390400196","3.448459390400196","3.448459390400196"
"195","929","929","929","3.0845902717033544","3.0845902717033544","3.0845902717033544"
"196.5","930","930","930","3.0259330028909837","3.0259330028909837","3.0259330028909837"
"198","931","931","931","3.270539583038109","3.270539583038109","3.270539583038109"
"199.5","932","932","932","3.136092299358185","3.136092299358185","3.136092299358185"
"201","933","933","933","2.7560899928407836","2.7560899928407836","2.7560899928407836"
"202.5","934","934","934","2.6439708516029845","2.6439708516029845","2.6439708516029845"
"204","935","935","935","3.2179659990344693","3.2179659990344693","3.2179659990344693"
"205.5","936","936","936","3.5002643711588783","3.5002643711588783","3.5002643711588783"
"207","937","937","937","3.254298553886343","3.254298553886343","3.254298553886343"
"208.5","938","938","938","3.1071384603299648","3.1071384603299648","3.1071384603299648"
"210","939","939","939","3.166352701566804","3.166352701566804","3.166352701566804"
"211.5","940","940","940","3.3041493001170914","3.3041493001170914","3.3041493001170914"
